scientific_name;genus;family;count_species_total;pct_species_total;count_species_street;pct_species_street;count_species_park;pct_species_park;biodiv_index;Moose;Flechte;Wildbienen;Schmetterlinge;Käfer;Vögel;Säugetiere;volume;growth_type;s_MEAN_dbh_cm;s_MEAN_height_m;s_MEAN_crown_m;s_MEDIAN_dbh_cm;s_MEDIAN_height_m;s_MEDIAN_crown_m;s_MAX_dbh_cm;s_MAX_height_m;s_MAX_crown_m;p_MEAN_dbh_cm;p_MEAN_height_m;p_MEAN_crown_m;p_MEDIAN_dbh_cm;p_MEDIAN_height_m;p_MEDIAN_crown_m;p_MAX_dbh_cm;p_MAX_height_m;p_MAX_crown_m;s_MEAN_age;p_MEAN_age;count_genus_total;pct_genus_all;count_genus_park;pct_genus_park;count_genus_street;pct_genus_street;count_family_total;pct_family_all;count_family_park;pct_family_park;count_family_street;pct_family_street
Acer rufinerve ;Acer;Sapindaceae;2;0.065595277;;;2;0.124921924;;3;3;5;3;4;4;4;497;S;;;;;;;;;;6.843662553;4;4.5;6.843662553;4;4.5;8.276057041;4;5;;;586;19.2194162;268;16.73953779;318;21.96132597;779;25.54936045;395;24.67207995;384;26.51933702
Acer saccharinum ;Acer;Sapindaceae;1;0.032797639;1;0.069060773;;;3.7;5;4;5;5;3;5;4;3528;S;29.28450953;15;10;29.28450953;15;10;29.28450953;15;10;;;;;;;;;;57;;586;19.2194162;268;16.73953779;318;21.96132597;779;25.54936045;395;24.67207995;384;26.51933702
Aesculus × carnea ;Aesculus;Sapindaceae;52;1.705477206;22;1.519337017;30;1.873828857;2.7;2;2;3;1;1;2;2;869;S;14.81587834;5.636363636;4.727272727;12.57324051;5;5;77.98592212;18;16;20.15962613;5.8;6.766666667;20.84929754;6;8;36.60563691;10;10;15;17.36842105;192;6.297146605;126;7.870081199;66;4.55801105;779;25.54936045;395;24.67207995;384;26.51933702
Aesculus flava ;Aesculus;Sapindaceae;1;0.032797639;1;0.069060773;;;;3;3;3;1;1;3;1;59;L;20.37183272;10;6;20.37183272;10;6;20.37183272;10;6;;;;;;;;;;50;;192;6.297146605;126;7.870081199;66;4.55801105;779;25.54936045;395;24.67207995;384;26.51933702
Aesculus hippocastanum ;Aesculus;Sapindaceae;139;4.558871761;43;2.96961326;96;5.996252342;3.7;;;;;;;;;;35.18434626;6.76744186;7.674418605;29.9211293;6;8;60.16056849;10;12;43.11441094;7.791666667;9.697916667;40.2662006;6;10;101.2225438;20;18;36.16666667;39.59574468;192;6.297146605;126;7.870081199;66;4.55801105;779;25.54936045;395;24.67207995;384;26.51933702
Ailanthus altissima ;Ailanthus;Simaroubaceae;6;0.196785831;2;0.138121547;4;0.249843848;1.8;3;2;3;3;4;4;3;890;L;69.86902002;18;16;69.86902002;18;16;98.67606472;22;20;50.69084937;17.5;13;54.43099054;17;13;70.02817496;22;16;49;;6;0.196785831;4;0.249843848;2;0.138121547;6;0.196785831;4;0.249843848;2;0.138121547
Alnus × spaethii ;Alnus;Betulaceae;10;0.327976386;1;0.069060773;9;0.562148657;1.9;3;3;3;2;3;4;3;42;L;16.2338042;10;8;16.2338042;10;8;16.2338042;10;8;30.87605896;14;11.33333333;30.55774907;14;12;36.60563691;15;12;;;61;2.000655953;47;2.935665209;14;0.966850829;334;10.95441128;214;13.36664585;120;8.287292818
Alnus cordata ;Alnus;Betulaceae;12;0.393571663;3;0.20718232;9;0.562148657;;;;;;;;;;;32.57371169;13.33333333;8;21.64507226;12;6;64.6169069;21;14;21.78654332;9;6.444444444;10.82253613;8;4;64.93521678;16;14;18;10.42857143;61;2.000655953;47;2.935665209;14;0.966850829;334;10.95441128;214;13.36664585;120;8.287292818
Alnus glutinosa ;Alnus;Betulaceae;20;0.655952771;1;0.069060773;19;1.186758276;2.9;;;;;;;;;;46.79155327;18;12;46.79155327;18;12;46.79155327;18;12;30.67502114;11.78947368;8.736842105;26.73803044;10;8;76.39437268;24;16;58;24.66666667;61;2.000655953;47;2.935665209;14;0.966850829;334;10.95441128;214;13.36664585;120;8.287292818
Alnus incana ;Alnus;Betulaceae;19;0.623155133;9;0.621546961;10;0.624609619;2.8;3;3;1;3;3;4;4;449;S;19.77058071;12.55555556;7.333333333;19.73521294;15;8;38.51549623;16;10;24.86000211;11.3;7.8;23.23662169;11;8;37.56056657;17;10;17.71428571;48;61;2.000655953;47;2.935665209;14;0.966850829;334;10.95441128;214;13.36664585;120;8.287292818
